long_name	standard_name	units	variable	acronym	AMIP
mole fraction of butanal in air		mol mol-1	mfc4al	FZJiek8	N
mole fraction of 1-2-butadiene in air		mol mol-1	mfc4en12	FZJiek8	N
mole fraction of 1-3-butadiene in air		mol mol-1	mfc4en13	FZJiek8	N
mole fraction of 1-butanol in air		mol mol-1	mfc4ol1	FZJiek8	N
mole fraction of 2-butanol in air		mol mol-1	mfc4ol2	FZJiek8	N
mole fraction of butanone in air		mol mol-1	mfc4on	FZJiek8	N
mole fraction of pentane in air		mol mol-1	mfc5	FZJiek8	N
mole fraction of pentanal in air		mol mol-1	mfc5al	FZJiek8	N
mole fraction of 1-pentene in air		mol mol-1	mfc5en1	FZJiek8	N
mole fraction of hexane in air		mol mol-1	mfc6	FZJiek8	N
mole fraction of hexanal in air		mol mol-1	mfc6al	FZJiek8	N
mole fraction of heptane in air		mol mol-1	mfc7	FZJiek8	N
mole fraction of 1-heptene in air		mol mol-1	mfc7en1	FZJiek8	N
mole fraction of octane in air		mol mol-1	mfc8	FZJiek8	N
mole fraction of nonane in air		mol mol-1	mfc9	FZJiek8	N
mole fraction of cis-butene in air		mol mol-1	mfcc4en	FZJiek8	N
mole fraction of cis-pentene in air		mol mol-1	mfcc5en	FZJiek8	N
mole fraction of cis-2-hexene in air		mol mol-1	mfcc6en2	FZJiek8	N
mole fraction of cis-3-ethylmethylcyclopentane in air		mol mol-1	mfcetmecycc5	FZJiek8	N
mole fraction of methane in air	mole_fraction_of_methane_in_air	mol mol-1	mfch4	FZJiek8	N
mole fraction of carbon monoxide in air	mole_fraction_of_carbon_monoxide_in_air	mol mol-1	mfco	FZJiek8	N
mole fraction of carbon dioxide in air	mole_fraction_of_carbon_dioxide_in_air	mol mol-1	mfco2	FZJiek8	N
mole fraction of cyclopentene in air		mol mol-1	mfcycc5en	FZJiek8	N
mole fraction of cis-1-3-cyclopentane in air		mol mol-1	mfcycc5en13	FZJiek8	N
mole fraction of cyclohexane in air		mol mol-1	mfcycc6	FZJiek8	N
mole fraction of d2-carene in air		mol mol-1	mfd2care	FZJiek8	N
mole fraction of d3-carene in air		mol mol-1	mfd3care	FZJiek8	N
mole fraction of e-beta-ocimene in air		mol mol-1	mfebocim	FZJiek8	N
mole fraction of ethylbenzene in air		mol mol-1	mfetbenz	FZJiek8	N
mole fraction of ethylcyclopentane in air		mol mol-1	mfetcycc5	FZJiek8	N
mole fraction of ethylcycloheptane in air		mol mol-1	mfetcycc7	FZJiek8	N
mole fraction of water in air		mol mol-1	mfh2o	FZJiek8	N
mole fraction of 2-3-dihydroindene in air		mol mol-1	mfind	FZJiek8	N
mole fraction of 2-phenylpentane in air		mol mol-1	mfisoc5benz	FZJiek8	N
mole fraction of isoprene in air	mole_fraction_of_isoprene_in_air	mol mol-1	mfisoprene	FZJiek8	N
mole fraction of isopropylbenzene in air		mol mol-1	mfisopropbenz	FZJiek8	N
mole fraction of isopropylcyclopentane in air		mol mol-1	mfisopropcycc5	FZJiek8	N
mole fraction of limonene in air	mole_fraction_of_limonene_in_air	mol mol-1	mflimo	FZJiek8	N
mole fraction of methacrolein in air		mol mol-1	mfmacr	FZJiek8	N
mole fraction of isobutane in air		mol mol-1	mfmec3	FZJiek8	N
mole fraction of isobutene and 1-butene in air		mol mol-1	mfmec3en	FZJiek8	N
mole fraction of methylcyclopentane in air		mol mol-1	mfmecycc5	FZJiek8	N
mole fraction of methylcyclohexane in air		mol mol-1	mfmecycc6	FZJiek8	N
mole fraction of m-p-xylene in air		mol mol-1	mfmpxyle	FZJiek8	N
mole fraction of methyl vinyl ketone in air		mol mol-1	mfmvk	FZJiek8	N
mole fraction of myrcene in air		mol mol-1	mfmyrc	FZJiek8	N
mole fraction of nitrous oxide in air	mole_fraction_of_nitrous_oxide_in_air	mol mol-1	mfn2o	FZJiek8	N
mole fraction of naphthalene in air		mol mol-1	mfnaphth	FZJiek8	N
mole fraction of ammonia in air	mole_fraction_of_ammonia_in_air	mol mol-1	mfnh3	FZJiek8	N
mole fraction of nitrogen monoxide in air	mole_fraction_of_nitrogen_monoxide_in_air	mol mol-1	mfno	FZJiek8	N
mole fraction of nitrogen dioxide in air	mole_fraction_of_nitrogen_dioxide_in_air	mol mol-1	mfno2	FZJiek8	N
mole fraction of nox expressed as nitrogen in air	mole_fraction_of_nox_expressed_as_nitrogen_in_air	mol mol-1	mfnox	FZJiek8	N
mole fraction of o-xylene in air		mol mol-1	mfoxyle	FZJiek8	N
mole fraction of propylbenzene in air		mol mol-1	mfpropbenz	FZJiek8	N
mole fraction of 1-propenylbenzene in air		mol mol-1	mfpropen1benz	FZJiek8	N
mole fraction of sabinene in air		mol mol-1	mfsabi	FZJiek8	N
mole fraction of sulfur dioxide in air	mole_fraction_of_sulfur_dioxide_in_air	mol mol-1	mfso2	FZJiek8	N
mole fraction of styrene in air		mol mol-1	mfstyr	FZJiek8	N
mole fraction of trans-1-3-dimethylcyclopentane in air		mol mol-1	mft13mecycc5	FZJiek8	N
mole fraction of trans-1-4-dimethylcyclohexane in air		mol mol-1	mft14mecycc6	FZJiek8	N
mole fraction of t-butylbenzene in air		mol mol-1	mftbutbenz	FZJiek8	N
mole fraction of trans-butene in air		mol mol-1	mftc4en	FZJiek8	N
mole fraction of trans-pentene in air		mol mol-1	mftc5en	FZJiek8	N
mole fraction of trans-1-3-hexadiene in air		mol mol-1	mftc6en13	FZJiek8	N
mole fraction of trans-2-hexene in air		mol mol-1	mftc6en2	FZJiek8	N
mole fraction of terpinolene in air		mol mol-1	mfterpiolene	FZJiek8	N
mole fraction of trans-3-ethylmethylcyclopentane in air		mol mol-1	mftetmecycc5	FZJiek8	N
mole fraction of toluene in air	mole_fraction_of_toluene_in_air	mol mol-1	mftol	FZJiek8	N
surface upward mole flux of carbon dioxide	surface_upward_mole_flux_of_carbon_dioxide	mol m-2 s-1	mfxuco2s	TUBSgeo	N
mole fraction of z-beta-ocimene in air		mol mol-1	mfzbocim	FZJiek8	N
mass concentration of organic carbon dry aerosol particles in air		kg m-3	mocda	SenUVKB	N
number concentration of ambient aerosol particles in air	number_concentration_of_ambient_aerosol_particles_in_air	m-3	ncaa	FZJiek8, TUBSgeo	N
nocturnal cooling rate		K h-1	ncr	SenSWB	N
number concentration of ultrafine ambient aerosol particles in air		m-3	ncufpa	FZJiek8, TUBSgeo, HUBgeo	N
rain drop number density		m-3	nr	LUHimuk	N
normalized downwelling photon radiance due to backscattering		1	nrpdb	TUBklima	N
surface downwelling photosynthetic photon flux in air	surface_downwelling_photosynthetic_photon_flux_in_air	mol m-2 s-1	pard	TUDDmeteo	N
surface upwelling photosynthetic photon flux in air	surface_upwelling_photosynthetic_photon_flux_in_air	mol m-2 s-1	paru	TUDDmeteo	N
pavement type classification		1	pavement_type	LUHimuk	N
aerodynamic particle diameter	aerodynamic_particle_diameter	1e-6 m	pd_ad	TUBklima	N
air pressure	air_pressure	hPa	plev		Y
particle radius		m	pr	LUHimuk	N
precipitation amount	precipitation_amount	mm	precip	hdcp2	N
sea water potential density		kg m-3	prho	LUHimuk	N
precipitable water	atmosphere_mass_content_of_water_vapor	kg m-2	prw		Y
surface air pressure	surface_air_pressure	hPa	ps		Y
particle surface area		1e-12 m-2	psa	FZJiek8	N
platform speed wrt ground	platform_speed_wrt_ground	m s-1	pswrtg	FZJiek8	N
platform speed wrt air	platform_speed_wrt_air	m s-1	pswrta	TUBklima	N
water vapor partial pressure in air	water_vapor_partial_pressure_in_air	hPa	pwv	TUBklima	N
cloud water mixing ratio	cloud_water_mixing_ratio	kg kg-1	qc	LUHimuk	N
liquid water mixing ratio	liquid_water_mixing_ratio	kg kg-1	ql	LUHimuk	N
cloud droplets weighting factor		1	qlvp	LUHimuk	N
rain water mixing ratio		kg kg-1	qr	LUHimuk	N
surface layer humidity scale		kg kg-1	qs	LUHimuk	N
aerodynamic resistance	aerodynamic_resistance	s m-1	r_aero	LUHimuk	N
surface resistance		s m-1	r_surf	LUHimuk	N
clear sky longwave radiative heating rate		K h-1	rad_lw_cs_hr	LUHimuk	N
longwave radiative heating rate		K h-1	rad_lw_hr	LUHimuk	N
clear sky shortwave radiative heating rate		K h-1	rad_sw_cs_hr	LUHimuk	N
shortwave radiative heating rate		K h-1	rad_sw_hr	LUHimuk	N
rainfall duration		s	radu	FZJiek8	N
air density	air_density	kg m-3	rho	LUHimuk	N
sea water density	sea_water_density	kg m-3	rho_sea_water	LUHimuk	N
downwelling longwave flux in air	downwelling_longwave_flux_in_air	W m-2	rld	TUBklima	N
surface downwelling longwave flux in air	surface_downwelling_longwave_flux_in_air	W m-2	rlds		Y
upwelling longwave flux in air	upwelling_longwave_flux_in_air	W m-2	rlu	TUBklima	N
surface upwelling longwave flux in air	surface_upwelling_longwave_flux_in_air	W m-2	rlus		Y
surface net downward radiative flux	surface_net_downward_radiative_flux	W m-2	rnds	DWD	N
downwelling shortwave flux in air	downwelling_shortwave_flux_in_air	W m-2	rsd	hdcp2	N
diffuse downwelling shortwave flux in air	diffuse_downwelling_shortwave_flux_in_air	W m-2	rsddif	TUBklima	N
direct downwelling shortwave flux in air	direct_downwelling_shortwave_flux_in_air	W m-2	rsddir	TUBklima	N
surface downwelling shortwave flux in air	surface_downwelling_shortwave_flux_in_air	W m-2	rsds		Y
upwelling shortwave flux in air	upwelling_shortwave_flux_in_air	W m-2	rsu	TUBklima	N
surface upwelling shortwave flux in air	surface_upwelling_shortwave_flux_in_air	W m-2	rsus		Y
radiative flux ultraviolet a		W m-2	ruva	USifk	N
radiative flux ultraviolet b		W m-2	ruvb	USifk	N
soil type classification		1	soil_type	LUHimuk	N
soil type	soil_type	1	soil_type	LUHimuk, TUBklima	N
duration of sunshine	duration_of_sunshine	s	ssdu	TUBklima	N
surface scalar flux		kg kg-1 m s-1	ssws	LUHimuk	N
indoor temperature		degree_C	t_indoor	LUHimuk	N
land water temperature		degree_C	t_lw	FUBmeteo, TUBklima	N
mean radiant temperature		degree_C	t_mrt	LUHimuk	N
perceived temperature		degree_C	t_perceived	LUHimuk	N
physiological equivalent temperature		degree_C	t_pet	LUHimuk	N
soil temperature	soil_temperature	degree_C	t_soil	TUBklima, LUHimuk	N
universal thermal climate index		degree_C	t_utci	LUHimuk	N
virtual acoustic temperature		K	t_va	TUBklima	N
air temperature	air_temperature	degree_C	ta		Y
brightness temperature 	brightness_temperature 	K	tb	hdcp2	N
dew point temperature	dew_point_temperature	degree_C	tdps	TUBklima	Y
thickness of hail amount		mm	tha	FZJiek8	N
air potential temperature	air_potential_temperature	K	theta		Y
liquid water potential temperature		K	thetal	LUHimuk	N
surface layer temperature scale		K	thetas	LUHimuk	N
virtual air potential temperature	virtual_temperature	K	thetav	LUHimuk	N
troposphere mole content of nitrogen dioxide	troposphere_mole_content_of_nitrogen_dioxide	mol m-2	tmcnd	TUBSgeo	N
thickness of rainfall amount	thickness_of_rainfall_amount	mm	traa	FZJiek8	N
mole fraction of ozone in air	mole_fraction_of_ozone_in_air	mol mol-1	tro3		Y
surface temperature	surface_temperature	K	ts		Y
u wind component		m s-1	u	LUHimuk	N
eastward wind	eastward_wind	m s-1	ua		Y
upward flux of ultrafine ambient aerosol particles in air		m2 s-1	ufluxufp	TUBSgeo	N
u wind component geostrophic		m s-1	ug	LUHimuk	N
eastward kinematic latent heat flux in air		g kg-1 m s-1	uqv	TUBklima	N
friction velocity		m s-1	us	LUHimuk	N
eastward kinematic sensible heat flux in air		K m s-1	utheta	TUBklima	N
eastward northward kinematic momentum flux in air		m2 s-2	uv	TUBklima	N
uv index		1	uv_index	LUHimuk	N
upward eastward kinematic momentum flux in air		m2 s-2	uw	TUBklima	N
v wind component		m s-1	v	LUHimuk	N
northward wind	northward_wind	m s-1	va		Y
vegetation type classification		1	vegetation_type	LUHimuk	N
v wind component geostrophic		m s-1	vg	LUHimuk	N
northward kinematic latent heat flux in air		g kg-1 m s-1	vqv	TUBklima	N
northward kinematic sensible heat flux in air		K m s-1	vtheta	TUBklima	N
upward northward kinematic momentum flux in air		m2 s-2	vw	TUBklima	N
w wind component	upward_air_velocity	m s-1	w	LUHimuk	N
large scale vertical velocity		m s-1	w_subs	LUHimuk	N
water type classification		1	water_type	LUHimuk	N
wind from direction	wind_from_direction	degree	wdir	hdcp2	N
divergence of transport of resolved turbulence kinetic energy due to pressure fluctuations		Pa m s-2	wpdz	LUHimuk	N
upward kinematic latent heat flux in air		g kg-1 m s-1	wqv	TUBklima	N
mixing layer velocity scale		m s-1	ws	LUHimuk	N
wind speed	wind_speed	m s-1	wspeed	hdcp2	N
upward kinematic sensible heat flux in air		K m s-1	wtheta	TUBklima	N
divergence of transport of resolved turbulence kinetic energy due to turbulence		m2 s-3	wuudz	LUHimuk	N
roughness length for momentum	surface_roughness_length_for_momentum_in_air	m	z0	LUHimuk	N
roughness length for heat	surface_roughness_length_for_heat_in_air	m	z0h	LUHimuk	N
cloud base altitude	cloud_base_altitude	m	zcb	hdcp2	N
convective boundary layer height based on maximum temperature gradient		m	zi_theta	LUHimuk	N
convective boundary layer height based on minimum sensible heat flux		m	zi_wtheta	LUHimuk	N
atmosphere boundary layer thickness	atmosphere_boundary_layer_thickness	m	zmla		Y
ground level altitude	ground_level_altitude	m	zt	LUHimuk, TUBklima	N
